영화명,감독,배우,장르,등급,전국관객수
최종병기 활,김한민,박해일/류승룡/김무열/문채원/이한위/김구택/이경영/박기웅/박노식/오타니 료헤이/이승준/이재구,사극,15세,7466976
트랜스포머,마이클 베이,샤이아 라보프/타이레스/조쉬 더하멜/안소니 앤더슨/메간 폭스/레이첼 테일러/존 보이트/존 터투로/줄리 화이트/사만다 스미스/케빈 던/마이클 오닐,SF,12세,7440531
써니,강형철,유호정/심은경/강소라/고수희/김민영/홍진희/박진주/이연경/남보라/김보미/민효린/김시후,드라마,15세,7328820
화려한 휴가,김지훈,김상경/안성기/이요원/이준기/박철민/박원상/송재호/나문희/권태원/엄효섭/박용수/손병호,드라마,12세,7307993
베를린,류승완,하정우/한석규/류승범/전지현/이경영/곽도원/최무성/김서형/배정남/베르너 다엔/존 케오그/너맨 아카,액션,15세,7166199
어벤져스,조스 웨던,로버트 다우니 주니어/스칼렛 요한슨/크리스 헴스워스/크리스 에반스/마크 러팔로/제레미 레너/사무엘 L. 잭슨/톰 히들스턴/클락 그레그/스텔란 스카스가드/기네스 팰트로/폴 베타니,액션,12세,7074867
내부자들,우민호,이병헌/조승우/백윤식/이경영/김홍파/배성우/조재윤/김대명/이엘/정만식/김병옥/김의성,범죄,청소년,7071757
은밀하게 위대하게,장철수,김수현/박기웅/이현우/손현주/박혜숙/고창석/김성균/신정근/장광/홍경인/이채영/최우식,액션,15세,6953800
타짜,최동훈,조승우/김혜수/백윤식/유해진/김응수/김상호/김윤석/주진모/권태원/김경익/이수경/김정난,드라마,18세,6847777
좋은 놈 나쁜 놈 이상한 놈 ,김지운,송강호/이병헌/정우성/윤제문/류승수/송영창/손병호/오달수/이청아,서부극(웨스턴),15세,6686912
늑대소년,조성희,송중기/박보영/장영남/유연석/김향기/이영란/유승목/서동수/우정국/구본임/안도규/남정희,멜로/로맨스,15세,6654837
미녀는 괴로워,김용화,주진모/김아중/성동일/김현숙/임현식/이한위/지서윤/박노식/정성윤/베니/명규,멜로/로맨스,12세,6619498
다크 나이트 라이즈,크리스토퍼 놀란,크리스찬 베일/마이클 케인/게리 올드만/앤 해서웨이/톰 하디/마리옹 꼬띠아르/조셉 고든 레빗/모건 프리먼/리암 니슨/킬리언 머피/매튜 모딘/네스터 카보넬,액션,15세,6396528
아저씨,이정범,원빈/김새론/김태훈/김희원/김성오/이종필/타나용 웡트라쿨/김효서/송영창/황화순/남경읍,액션,청소년,6282774
사도,이준익,송강호/유아인/문근영/전혜진/김해숙/박원상/진지희/박소담/서예지/최덕문/정석용/이대연,사극,12세,6246849
전우치,최동훈,강동원/김윤석/임수정/유해진/송영창/주진모/김상호/선우선/공정환/권태원/이용녀/김기천,액션,12세,6136928
미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,톰 크루즈/제레미 레너/사이먼 페그/알렉 볼드윈/레베카 퍼거슨/빙 라메스/숀 해리스/사이먼 맥버니/장징추/아메리카 올리보/헤르미온느 코필드,액션,15세,6126488
킹스맨 : 시크릿 에이전트,매튜 본,콜린 퍼스/태런 에저튼/사무엘 L. 잭슨/마이클 케인/마크 스트롱/잭 데이븐포트/코리 존슨/소피아 부텔라/벨리버 토픽/리 니콜라스 해리스/마크 해밀/제이미스 버틀러,액션,청소년,6125154
투사부일체,김동원,정준호/김상중/정웅인/정운택/강성필/최윤영/한효주/박용기/임세호/박용식/이기열/전창걸,코미디,15세,6105431
연평해전,김학순,김무열/진구/이현우/김지훈/장준학/주희중/이완/김하균/한성용/김동희/김희찬/이철민,드라마,12세,6043458
인셉션,크리스토퍼 놀란,레오나르도 디카프리오/와타나베 켄/조셉 고든 레빗/마리옹 꼬띠아르/엘렌 페이지/톰 하디/킬리언 머피/톰 베린저/마이클 케인,드라마,12세,5926948
레미제라블,톰 후퍼,휴 잭맨/앤 해서웨이/러셀 크로우/아만다 사이프리드/헬레나 본햄 카터/사챠 바론 코헨/에디 레드메인/사만다 바크스/아론 트베잇/조지 블래그덴/이자벨 알렌/콤 윌킨슨,드라마,12세,5911890
