영화명,감독,배우,장르,등급,전국관객수
퀵,조범구,이민기/강예원/김인권/고창석/주진모/김병철/김은옥/윤제문/유승목/마동석/송재호/전국환/오정세,코미디,15세,3125069
감기,김성수,장혁/수애/박민하/유해진/이희준/김기현/이상엽/박효주/박정민/보리스 스타웃/김문수/최병모/장경업/앤드류 윌리엄 브랜드,드라마,15세,3119023
마파도,추창민,이정진/이문식/여운계/김수미/김을동/김형자/길해연/오달수/서영희,코미디,15세,3090467
하모니,강대규,김윤진/나문희/강예원/이다희/장영남/박준면/정수영/이태경,드라마,12세,3068544
거북이 달린다,이연우,김윤석/정경호/견미리/선우선/김지나/신정근/최권/차은재,드라마,15세,3059812
너는 내 운명,박진표,전도연/황정민/나문희/정유석/서주희/윤제문/임종윤/김상호/고수희/김부선/김광규,멜로/로맨스,18세,3051134
스물,이병헌,김우빈/준호/강하늘/정소민/이유비/민효린/정주연,코미디,15세,3044134
토르: 다크 월드,앨런 테일러,크리스 헴스워스/나탈리 포트만/톰 히들스턴/안소니 홉킨스/크리스토퍼 에클리스턴/이드리스 엘바,액션,12세,3039889
식객,전윤수,김강우/임원희/이하나/정은표/김상호/정진/정진/김진태/공호석/박진영/안길강/이주실,드라마,12세,3038868
방자전,김대우,김주혁/류승범/조여정/류현경/오달수/송새벽/오정세/공형진,사극,청소년,3035116
마더,봉준호,김혜자/원빈/진구/윤제문/전미선/송새벽/이영석/문희라,드라마,청소년,3013523
레드: 더 레전드,딘 패리소트,브루스 윌리스/이병헌/캐서린 제타 존스/안소니 홉킨스/존 말코비치/헬렌 미렌/메리 루이스 파커,액션,15세,3004647
해리 포터와 혼혈 왕자,데이빗 예이츠,다니엘 래드클리프/엠마 왓슨/루퍼트 그린트/톰 펠튼/마이클 갬본/로비 콜트레인/보니 라이트,어드벤처,전체관,3002669
오싹한 연애,황인호,손예진/이민기/박철민/김현숙/이미도/신성훈/윤지민/황승언,공포(호러),12세,3001530
드래곤 길들이기 2,딘 데블로이스,제이 바루첼/제라드 버틀러/아메리카 페레라/케이트 블란쳇/크리스틴 위그/조나 힐/크리스토퍼 민츠 프래지/T.J. 밀러/키트 해링턴/크레이그 퍼거슨/디몬 하운수/키에론 앨리어트/필립 맥그레이드/앤드류 엡리슨/기드온 에머리/사이몬 카시아니디스/랜디 돔,애니메이션,전체관,3000056
황금 나침반,크리스 웨이츠,다니엘 크레이그/니콜 키드먼/에바 그린/다코타 블루 리차드/벨 월커/이안 맥켈런/짐 카터/톰 커트니/찰리 로우/클레어 히긴스/스티븐 로턴/샘 엘리어트/사이먼 맥버니,판타지,전체관,2979838
친구 2,곽경택,유오성/주진모/김우빈/장영남/정호빈/기주봉/이철민/이준혁/황성준/장지건/선호진/정수교/배성종/강한나/이상훈/원웅재/신준범/지승현/박성현/윤진하/박아인/조민준,액션,청소년,2971475
26년,조근현,진구/한혜진/임슬옹/배수빈/이경영/장광/이미도/조덕제,액션,15세,2963449
고지전,장훈,신하균/고수/이제훈/류승수/고창석/이다윗/류승룡/김옥빈/조진웅/정인기/박영서,드라마,15세,2945137
300,잭 스나이더,제라드 버틀러/레나 헤디/데이비드 웬햄/도미닉 웨스트/빈센트 레건/마이클 패스벤더/톰 위즈덤/앤드류 프레빈/앤드류 티어난/호드리고 산토로/피터 멘사/스티븐 맥허티/지오바니 치미노,액션,청소년,2929400
솔트,필립 노이스,안젤리나 졸리/리브 슈라이버/치웨텔 에지오프/다니엘 올브리츠키/오거스트 딜/다니엘 피어스/헌트 블락/안드레 브라우퍼,스릴러,15세,2921331
헬로우 고스트,김영탁,차태현/강예원/이문수/고창석/장영남/천보근/공호석/정규수,코미디,12세,2897477
원티드,티무르 베크맘베토브,제임스 맥어보이/모건 프리먼/안젤리나 졸리/테렌스 스탬프/포마스 크레취만/커먼/크리스튼 헤거/마크 워렌/데이비드 오하라/콘스탄틴 카벤스키/다코 박타드제/크리스 프랫/로나 스콧,스릴러,청소년,2867594
극비수사,곽경택,김윤석/유해진/송영창/이정은/장영남/장명갑/정호빈/진선미/이윤희/남문철/이준혁/윤진하/조민준/이호철,드라마,15세,2860786
슈렉3,크리스 밀러/라맨 허,마이클 마이어스/에디 머피/카메론 디아즈/안토니오 반데라스/줄리 앤드류스/존 클리즈/루퍼트 에버릿/에릭 아이들/저스틴 팀버레이크/수잔 블레이크슬리,애니메이션,전체관,2844159
표적,창,류승룡/유준상/이진욱/김성령/조여정/조은지/김대명/장준녕/염지영/이현욱,액션,15세,2841788
앤트맨,페이튼 리드,폴 러드/마이클 더글라스/에반젤린 릴리/코리 스톨/바비 카나베일/안소니 마키/주디 그리어/애비 라이더 포트슨/마이클 페나/데이빗 다스트말치안,액션,12세,2839921
호빗: 다섯 군대 전투,피터 잭슨,마틴 프리먼/이안 맥켈런/리처드 아미티지/케이트 블란쳇/올랜도 블룸/크리스토퍼 리/휴고 위빙/에반젤린 릴리/루크 에반스/베네딕트 컴버배치,어드벤처,12세,2836774
호빗: 뜻밖의 여정,피터 잭슨,이안 맥켈런/마틴 프리먼/리처드 아미티지/제임스 네스빗/켄 스탓/실베스터 맥코이/배리 험프리즈/케이트 블란쳇/이안 홈/크리스토퍼 리,어드벤처,12세,2818993
메이즈 러너,웨스 볼,딜런 오브라이언/카야 스코델라리오/윌 폴터/토마스 생스터/이기홍/에멜 아민/패트리시아 클락슨/제이콥 라티모어/조 애들러/블레이크 쿠퍼,액션,12세,2812427
해리 포터와 죽음의 성물1,데이빗 예이츠,다니엘 래드클리프/엠마 왓슨/루퍼트 그린트/빌 나이/리차드 그리피스/해리 멜링/줄리 월터스/보니 라이트/이안 켈리/미셸 페어리,미스터리,전체관,2809053
빅 히어로,돈 홀/크리스 윌리암스,다니엘 헤니/라이언 포터/스콧 애짓/제이미 정/T.J. 밀러/제네시스 로드리게스/데이몬 웨이언스 주니어/마야 루돌프/알란 터딕/제임스 크롬웰,애니메이션,전체관,2801949
혹성탈출: 진화의 시작,루퍼트 와이어트,제임스 프랭코/프리다 핀토/앤디 서키스/브라이언 콕스/톰 펠튼/존 리스고/데이빗 휴렛/타일러 라빈/소냐 베넷/첼라 호스달,액션,12세,2773794
부당거래,류승완,황정민/류승범/유해진/천호진/마동석/우정국/조영진/정만식/이성민/김수현,범죄,청소년,2766436
데드풀,팀 밀러,라이언 레이놀즈/모레나 바카린/에드 스크레인/지나 카라노/T.J. 밀러/브리아나 힐데브란드/스테판 카피식/카란 소니/테일러 힉슨/우슬리 우감스,액션,청소년,2757705
1번가의 기적,윤제균,임창정/하지원/주현/정두홍/이훈/강예원/박창익/박유선/고태호,드라마,15세,2750457
메이즈 러너: 스코치 트라이얼,웨스 볼,딜런 오브라이언/토마스 생스터/카야 스코델라리오/이기홍/지안카를로 에스포지토/나탈리 엠마뉴엘/캐서린 맥나마라/에이단 길렌/릴리 테일러/패트리시아 클락슨,액션,12세,2744413
시라노; 연애조작단,김현석,엄태웅/이민정/최다니엘/박신혜/박철민/전역산/송새벽/류현경/이미도/이미소,멜로/로맨스,12세,2731828
핸콕,피터 버그,윌 스미스/샤를리즈 테론/제이슨 베이트먼/에디 마산/자니 갈렉키/토마스 레논,액션,12세,2723518
내가 살인범이다,정병길,정재영/박시후/정해균/김영애/최원영/김종구/조은지/오용/박웅/장미자,액션,청소년,2721903
나우 유 씨 미 : 마술사기단,루이스 리테리어,제시 아이젠버그/마크 러팔로/우디 해럴슨/멜라니 로랑/아일라 피셔/데이브 프랭코/마이클 케인/모건 프리먼/라라 그리스,범죄,12세,2718227
적벽대전 2 : 최후의 결전,오우삼,양조위/금성무/장풍의/장첸/자오웨이/후준/나카무라시도/린즈링/우용/허우용,액션,15세,2713031
지.아이.조 : 전쟁의 서막,스티븐 소머즈,채닝 테이텀/데니스 퀘이드/이병헌/조셉 고든 레빗/시에나 밀러/레이첼 니콜스/크리스토퍼 에클리스턴/레이 파크/아데웰 아킨누오예 아바제/아놀드 보슬로,액션,15세,2706748
타이탄,루이스 리테리어,샘 워싱턴/리암 니슨/랄프 파인즈/알렉사 다바로스/젬마 아터튼/니콜라스 홀트/대니 휴스턴/이자벨라 미코/제이슨 플레밍/폴리 워커,액션,12세,2685508
소원,이준익,설경구/엄지원/이레/김해숙/김상호/라미란/양진성/김도엽/강성해/권태원,드라마,12세,2663170
브레이킹 던 part2,빌 콘돈,크리스틴 스튜어트/로버트 패틴슨/테일러 로트너/다코타 패닝/애슐리 그린/매기 그레이스/마이클 쉰/니키 리드/안나 켄드릭/잭슨 라스본,드라마,15세,2654817
탐정 : 더 비기닝,김정훈,권상우/성동일/서영희/박해준/이승준/윤경호/조복래/이해영/박성일/최성원,코미디,15세,2625686
미니언즈,피에르 꼬팽/카일 발다,피에르 꼬팽/마이클 키튼/산드라 블록/앨리슨 제니/존 햄/케이티 믹슨/스티브 쿠건/사나다 히로유키/제니퍼 손더스/제프리 러쉬,애니메이션,전체관,2625572
후궁 : 제왕의 첩,김대승,조여정/김동욱/김민준/박지영/조은지/이경영/박철민/안석환/조기왕/오지혜,사극,청소년,2621436
드래곤 길들이기,딘 데블로이스,제이 바루첼/제라드 버틀러/아메리카 페레라/크레이그 퍼거슨/조나 힐/크리스토퍼 민츠 프래지/T.J. 밀러/크리스틴 위그/로빈 앳킨 다운즈/필립 맥그레이드,애니메이션,전체관,2603857
위험한 상견례,김진영,송새벽/이시영/백윤식/김수미/김응수/박철민/김정난/정성화/박효주/김도연,코미디,12세,2595625
굿모닝 프레지던트,장진,이순재/장동건/고두심/임하룡/한채영/이문수/주진모/김광현/전양자/정규수,코미디,전체관,2583294
음란서생,김대우,한석규/이범수/김민정/오달수/김뢰하/안내상/김기현/우현/김병옥/전수환,사극,18세,2576022
기술자들,김홍선,김우빈/김영철/고창석/이현우/조윤희/임주환/조달환/신승환/신구/지승헌,범죄,15세,2564340
퍼시픽 림,길예르모 델 토로,찰리 허냄/론 펄먼/이드리스 엘바/찰리 데이/키쿠치 린코/맥스 마티니/클리프톤 콜린스 주니어/로버트 메일렛/디에고 클래튼호프/번 고먼,액션,12세,2539114
내 생애 가장 아름다운 일주일,민규동,주현/오미희/천호진/진태현/엄정화/황정민/김수로/전혜진/임창정/서영희,멜로/로맨스,15세,2533103
엑스맨: 퍼스트 클래스,매튜 본,제임스 맥어보이/마이클 패스벤더/케빈 베이컨/제니퍼 로렌스/재뉴어리 존스/로즈 번/베스 고다드/모갠 릴리/올리버 플랫/로렌스 벨처,액션,12세,2532306
나니아 연대기-사자 마녀 그리고 옷장,앤드류 아담슨,조지 헨리/윌리암 모즐리/스캔다 케인즈/안나 팝플웰/틸다 스윈튼/리암 니슨/소피 윈클만/제임스 맥어보이/키런 샤/제임스 코스모,가족,전체관,2505133
박수칠 때 떠나라,장진,차승원/신하균/신구/정동환/김진태/공호석/정규수/이한위/이용이/류승룡,드라마,15세,2475291
반창꼬,정기훈,고수/한효주/마동석/김성오/현쥬니/진서연/윤세용,멜로/로맨스,15세,2471721
화차,변영주,이선균/김민희/조성하/송하윤/최덕문/이희준/김민재/박해준,미스터리,15세,2435211
이웃사람,김휘,김윤진/마동석/천호진/김성균/김새론/임하룡/장영남/도지한/김기천/장유,스릴러,청소년,2434099
광식이 동생 광태,김현석,김주혁/봉태규/이요원/김아중/정경호/김형민/김효주,코미디,15세,2430200
의뢰인,손영성,하정우/박희순/장혁/성동일/김성령/정원중/유다인/박혁권/주진모/예수정,스릴러,15세,2393086
화이: 괴물을 삼킨 아이,장준환,김윤석/여진구/조진웅/장현성/김성균/박해준/남지현/유연석/우정국/임지은,액션,청소년,2391963
테이큰,피에르 모렐,리암 니슨/매기 그레이스/릴랜드 오서/존 그리스/데이빗 워쇼프스키/홀리 밸런스/케이티 캐시디/잰더 버클리/올리비에 라보르딘/제라르 왓킨스,범죄,청소년,2379830
007 스카이폴,샘 멘데스,다니엘 크레이그/하비에르 바르뎀/주디 덴치/랄프 파인즈/나오미 해리스/베레니스 말로에/벤 위쇼/알버트 피니/마이클 G. 윌슨/토니아 스티로폴로,액션,15세,2376145
가문의 영광4 - 가문의 수난,정태원,김수미/신현준/탁재훈/임형준/정준하/현영/정웅인/김지우/정만식/이재훈,코미디,15세,2363955
블라인드,안상훈,김하늘/유승호/조희봉/양영조/김미경/박충선/박보검/달이/짱/김종권,스릴러,청소년,2362906
맨발의 기봉이,권수경,신현준/김수미/임하룡/탁재훈/김효진/지대한/조덕현/금동현/유민석/강수영,드라마,전체관,2347311
작업의 정석,오기환,손예진/송일국/현영/노주현/윤동탁/안선영/박준규/김애경/우현/정정아,코미디,15세,2342232
미인도,전윤수,김규리/김영호/김남길/추자현/한명구/박지일/권병길/최규환/여호민/황찬우,사극,청소년,2325715
라스트 갓파더,심형래,심형래/하비 케이틀/마이클 리스폴리/제이슨 미웨스/조셀린 도나휴/블레이크 클락/존 폴리토/캘빈 딘/폴 힙/잭 켈러,코미디,12세,2316099
스파이,폴 페이그,주드 로/제이슨 스타뎀/멜리사 맥카시/로즈 번/앨리슨 제니/피터 세라피노윅/모레나 바카린/바비 카나베일/50 센트/미란다 하트,액션,15세,2315882
테이큰 2,올리비에 메가턴,리암 니슨/매기 그레이스/팜케 얀센/라드 세르베드지야/루크 그림즈/릴랜드 오서/루에넬/커보크 말리키안/라이언 버처/존 그리스,액션,청소년,2308596
하녀,임상수,전도연/이정재/윤여정/박지영/안서현/서우/문소리/김진아,스릴러,청소년,2304487
달콤 살벌한 연인,손재곤,박용우/최강희/조은지/정경호/이희도/조영규/선우선,스릴러,18세,2286745
호빗: 스마우그의 폐허,피터 잭슨,마틴 프리먼/이안 맥켈런/리처드 아미티지/케이트 블란쳇/올랜도 블룸/크리스토퍼 리/앤디 서키스/휴고 위빙/베네딕트 컴버배치/루크 에반스,어드벤처,12세,2282744
나잇&데이,제임스 맨골드,톰 크루즈/카메론 디아즈/피터 사스가드/조디 몰라/비올라 데이비스/폴 다노/폴크 헨쉘/마크 블루카스/레니 로프틴/매기 그레이스,액션,15세,2282191
혈의 누,김대승,차승원/박용우/지성/윤세아/최종원/박철민/유해진/정규수/박충선/최동준/임종윤,스릴러,18세,2274995
컨저링,제임스 완,베라 파미가/패트릭 윌슨/릴리 테일러/론 리빙스턴/조이 킹/매켄지 포이/헤일리 맥파랜드/샌리 카즈웰/존 브라더튼/스티브 콜터,공포(호러),15세,2262758
슈렉 포에버,마이크 미첼,마이크 마이어스/카메론 디아즈/에디 머피/안토니오 반데라스/줄리 앤드류스/존 햄/존 클리즈/크레이그 로빈슨,애니메이션,전체관,2261356
극락도 살인사건,김한민,박해일/박솔미/성지루/최주봉/김인문/박원상/안내상/유혜정/박길수/김병춘,공포(호러),15세,2259511
이글 아이,D.J. 카루소,샤이아 라보프/미셸 모나한/로사리오 도슨/마이클 치클리스/안소니 마키/에단 엠브리/빌리 밥 손튼/안소니 아지지/캐머런 보이스,액션,12세,2258369
배틀쉽,피터 버그,테일러 키취/리암 니슨/리아나/브룩클린 데커/알렉산더 스카스가드/제시 플레먼스/해미쉬 링클레이터/아사노 타다노부/조쉬 펜스/피터 맥니콜,SF,12세,2241687
셜록홈즈 : 그림자 게임,가이 리치,로버트 다우니 주니어/주드 로/누미 라파스/자레드 해리스/레이첼 맥아담스/스티븐 프라이/켈리 라일리/에디 마산/제라르딘 제임스/질 를르슈,액션,15세,2239156
박쥐,박찬욱,송강호/김옥빈/김해숙/신하균/박인환/송영창/오달수,공포(호러),청소년,2237271
7광구,김지훈,하지원/안성기/오지호/박철민/송새벽/박정학/이한위/박영수/차예련/오민석,SF,15세,2232179
어거스트 러쉬,커스틴 쉐리단,프레디 하이모어/조나단 리스 마이어스/케리 러셀/로빈 윌리엄스/리온 G. 토마스 3세/테렌스 하워드/제미아 시몬 내쉬/윌리암 새들러/알렉스 오로린/아론 스테이턴,드라마,전체관,2218573
나는 전설이다,프란시스 로렌스,윌 스미스/앨리스 브라가/찰리 타핸/샐리 리차드슨/월로우 스미스,SF,12세,2215883
포세이돈,볼프강 페터젠,조쉬 루카스/커트 러셀/리차드 드레이퓨즈/에미 로섬/재신다 바렛/마이크 보겔/미아 마에스트로/케빈 딜런/프레디 로드리게스/지미 베넷,액션,12세,2214600
셜록 홈즈,가이 리치,로버트 다우니 주니어/주드 로/레이첼 맥아담스/마크 스트롱/켈리 라일리/에디 마산/한스 매디슨/윌리엄 홉/브로나 갈라퍼,미스터리,12세,2207751
007 퀀텀 오브 솔러스,마크 포스터,다니엘 크레이그/올가 쿠릴렌코/마티유 아말릭/주디 덴치/지안카를로 지아니니/젬마 아터튼/제프리 라이트/데이빗 하버/제스퍼 크리스텐슨/애나콜 토브맨,액션,15세,2201300
마당을 나온 암탉,오성윤,문소리/유승호/최민식/박철민/김상현/전숙경/엄상현/시성웅/한신정/김지혜,애니메이션,전체관,2199048
댄서의 순정,박영훈,문근영/박건형/박원상/윤찬/김기수/정유미/이대연/김지영,드라마,12세,2197555
악의 연대기,백운학,이민호/김해원/정진영/설현/유승목/한재영/이연두/정호빈/최진호/엄효섭,스릴러,15세,2192243
강남 1970,유하,이민호/김래원/정진영/설현/유승목/한재영/이연두/정호빈,액션,청소년,2192172
바르게 살자,라희찬,정재영/손병호/이영은/고창석/이철민/주진모/이한위/유민석/조덕현/공호석,코미디,15세,2190250
이상한 나라의 앨리스,팀 버튼,조니 뎁/앤 해서웨이/헬레나 본햄 카터/크리스핀 글로버/미아 와시코브스카/맷 루카스/프란세스 드 라 투어/린제이 던칸/제라르딘 제임스/팀 피곳 스미스,판타지,전체관,2182365
맨 오브 스틸,잭 스나이더,헨리 카빌/에이미 아담스/러셀 크로우/케빈 코스트너/다이안 레인/마이클 섀넌/안체 트라우/아예렛 주러/로렌스 피시번/크리스토퍼 멜로니,SF,12세,2182227
황해,나홍진,김윤석/하정우/조성하/이철민/강민규/곽도원/임예원/탁성은/이엘/정만식/정민성,스릴러,청소년,2167426
초능력자,김민석,강동원/고수/김수남/정은채/윤다경/최덕문/아부다드/에네스 카야/양경모,SF,15세,2164805
내 사랑 내 곁에,박진표,하지원/김명민/남능미/임하룡/최종률/신신애/임종윤/임형준/임성민/가인,드라마,12세,2160265
마이 웨이,강제규,장동건/오다기리 죠/판빙빙/김인권/김희원/오태경/곽정욱/김시후/최호진/윤희원,전쟁,15세,2142622
나의 사랑 나의 신부,임찬상,조정석/신민아/윤정희/배성우/라미란/전무송/이시언/고규필/서강준/유하준,멜로/로맨스,15세,2135614
사랑,곽경택,주진모/박시연/주현/김민준/임현성/차도진/곽인준,멜로/로맨스,15세,2123815
세븐 데이즈,원신연,김윤진/김미숙/박희순/최무성/장항선/양진우/정동환/이도겸/원풍연/이라혜,스릴러,청소년,2120741
이클립스,데이빗 슬레이드,크리스틴 스튜어트/로버트 패틴슨/테일러 로트너/빌리 버크/애슐리 그린/잭슨 라스본/니키 리드/켈란 루츠/엘리자베스 리저/피터 파시넬리,판타지,12세,2105050
사생결단,최호,류승범/황정민/김희라/추자현/이도경/온주완,액션,18세,2104716
엑스맨 : 최후의 전쟁,브렛 래트너,휴 잭맨/할리 베리/이안 맥켈런/팜케 얀센/안나 파킨/켈시 그래머/레베카 로미즌/제임스 마스던/숀 애쉬모어/아론 스탠포드,SF,12세,2096180
몽타주,정근섭,엄정화/김상경/송영창/조희봉/유승옥/정해균/박철민/기주봉/이준혁/태원석,스릴러,15세,2095375
색즉시공 시즌2,윤태윤,임창정/송지효/최성국/신이/유채영/이화선/이상윤/홍지영/선호빈/최현,코미디,청소년,2088134
논스톱,자움 콜렛 세라,리암 니슨/줄리안 무어/미셸 도커리/스쿳 맥네이리/네이트 파커/코리 스톨/루피타 뇽/라이너스 로체/앤슨 마운트/바 팔리,액션,15세,2084457
내부자들: 디 오리지널,우민호,이병헌/조승우/백윤식/이경영/김홍파/배성우/조재윤/김대명/조우진/이엘,범죄,청소년,2083975
쩨쩨한 로맨스,김정훈,이선균/최강희/오정세/류현경/송유하/백도빈/박성일/조은지,코미디,청소년,2080574
장화신은 고양이,크리스 밀러,안토니오 반데라스/셀마 헤이엑/자흐 갈리피아나키스/빌리 밥 손튼/에이미 세다리스/콘스탄스 마리/길예르모 델 토로/리치 디에틀/라이언 크레고/톰 휠러,애니메이션,전체관,2080154
인투 더 스톰,스티븐 쿼일,리처드 아미티지/사라 웨인 콜리스/맷 월쉬/제레미 섬터/맥스 디콘/네이단 크레스/알리시아 데브넘 캐리/알렌 에스카페타/리 휘태커/카일 데이비스,액션,12세,2078492
청춘만화,이한,권상우/김하늘/이상우/장미인애/정규수/이경진/박지빈/정민아/최종률,코미디,12세,2066354
눈에는 눈 이에는 이,곽경택/안권태,한석규/차승원/송영창/이병준/정인기/김지석/차도진/이재구/김윤태/김종만,범죄,15세,2058764
뷰티 인사이드,백,한효주/김대명/도지한/배성우/박신혜/이범수/박서준/김상호/천우희/우에노 주리,판타지,12세,2053947
본 얼티메이텀,폴 그린그래스,맷 데이먼/줄리아 스타일스/데이빗 스트라탄/스콧 글렌/패디 콘시딘/에드가 라미레즈/알버트 피니/조안 알렌/톰 갤로프/코리 존슨,액션,12세,2052800
비열한 거리,유하,조인성/천호진/남궁민/이보영/진구/윤제문/선우은숙/이종혁,액션,18세,2047808
노아,대런 아로노프스키,러셀 크로우/제니퍼 코넬리/엠마 왓슨/안소니 홉킨스/로건 레먼/레이 윈스턴/더글러스 부스/다코타 고요/케빈 두런드/놀란 그로스,어드벤처,15세,2026574
페르시아의 왕자: 시간의 모래,마이크 뉴웰,제이크 질렌할/젬마 어트튼/벤 킹슬리/알프리드 몰리나/스티브 토어세인트/토비 켑벨/리처드 코일/로널드 픽업/리스 리치/기슬리 온 가다르손,액션,12세,2003533
박물관이 살아있다 2,숀 레비,벤 스틸러/에이미 아담스/오웬 윌슨/행크 아자리야/로빈 윌리엄스/크리스토퍼 게스트/알랭 샤바/스티브 쿠건/럭키 제바이스/빌 헤이더,어드벤처,전체관,2002526
레버넌트: 죽음에서 돌아온 자,알레한드로 곤잘레스 이냐리투,레오나르도 디카프리오/톰 하디/도널 글리슨/윌 폴터/폴 앤더슨/루카스 하스/브렌단 플레처/브래드 카터/크리스토퍼 요너/로버트 몰로니,어드벤처,15세,2001468
남자가 사랑할 때,한동욱,황정민/한혜진/남일우/곽도원/정만식/김혜은/강민아/김홍파/김병옥/남문철,멜로/로맨스,15세,1979311
루시,뤽 베송,스칼렛 요한슨/모건 프리먼/최민식/애널리 팁튼/아미르 웨이키드/줄리안 린드 터트/요한 필립 애스백/니콜라스 퐁페스/얀 올리버 슈뢰더/루카 안젤라티,액션,청소년,1971837
뉴 문,크리스 웨이츠,크리스틴 스튜어트/로버트 패틴슨/테일러 로트너/애슐리 그린/피터 파시넬리/엘리자베스 리저/켈란 루츠/니키 리드/잭슨 라스본/브론손 페레티어,판타지,12세,1949027
천사와 악마,론 하워드,톰 행크스/아예렛 주러/이완 맥그리거/스텔란 스카스가드/아민 믈러 스탈,미스터리,15세,1936321
터보,데이빗 소렌,라이언 레이놀즈/폴 지아마티/마이클 페나/사무엘 L. 잭슨/루이스 구즈만/스눕 독/빌 헤이더/마야루돌프/벤 슈와츠/리차드 젠킨스,애니메이션,전체관,1923748
애자,정기훈,최강희/김영애/배수빈/최일화/성병숙/사현진/김재만/송민지/장영남,드라마,15세,1922634
잠복근무,박광춘,김선아/공유/남상미/하정우/노주현/김상호,코미디,15세,1914941
그림자 살인,박대민,황정민/류덕환/엄지원/오달수/윤제문/주다영/김향기/김응수/송재호/오태경,미스터리,15세,1914779
오늘의 연애,박진표,이승기/문채원/이서진/정준영/고윤/리지/류화영/박시은/하경민/박은지,멜로/로맨스,15세,1891993
글러브,강우석,정재영/유선/강신일/조진웅/강미경/김혜성/장기범/이현우/김동영/김연준,드라마,전체관,1888100
라디오 스타,이준익,박중훈/안성기/최정윤/노브레인/이성우/황현성/정재환/정민준/정석용/윤주상,드라마,12세,1879501
퍼시 잭슨과 번개 도둑,크리스 콜럼버스,로건 레먼/피어스 브로스넌/우마 서먼/숀 빈/로사리오 도슨/케빈 맥키드/캐서린 키너/스티브 쿠건/제이크 아벨/알렉산드라 다드다리오,판타지,12세,1877226
해결사,권혁재,설경구/이정진/오달수/조진모/이성민/문정희/송새벽/이영훈,액션,15세,1873327
색계,이안,양조위/탕웨이/조안 첸/왕리홍/탁종화/전가락/왕휘링/아누팜 커/타케시타 아키코/후지키 하야토,드라마,청소년,1866900
연애의 온도,노덕,이민기/김민희/최무성/라미란/하연수/이문정/김강현/최귀화/박병은/윤경희,멜로/로맨스,청소년,1865195
아이들...,이규만,박용우/류승룡/성동일/성지루/김여진/박병은/주진모/김구택/박미현/장유,범죄,15세,1864408
테이큰 3,올리비에 메가턴,리암 니슨/팜케 얀센/매기 그레이스/존 그리스/포레스트 휘태커/릴랜드 오서/알렉산더 레이스/조니 웨스턴/딜런 브루노/알 사피엔자,액션,15세,1860934
구세주,김정우,최성국/신이/조상기/백일섭/박원숙/박준규/김광규,코미디,15세,1858668
코리아,문현성,하지원/배두나/한예리/최윤영/박철민/김응수/오정세/이종석/박영서/권태원,드라마,12세,1857392
지.아이.조 2,존 추,이병헌/브루스 윌리스/드웨인 존슨/채닝 테이텀/아드리안 팔리키/레이 스티븐슨/레이 파크/조셉 마젤로/아놀드 보슬로/에로디 영,액션,15세,1855917
집으로 가는 길,방은진,전도연/고수/류태호/배성우/강지우/조안나 쿠릭/코린 마시에로/이동휘/최민철/허준석,드라마,15세,1854625
악마를 보았다,김지운,이병헌/최민식/전국환/천호진/오산하/김윤서/최무성/김시운,스릴러,청소년,1848418
바람피기 좋은 날,장문일,김혜수/윤진서/이종혁/이민기/박혁권/황정민/이라혜,드라마,청소년,1847875
콘스탄틴,프란시스 로렌스,키아누 리브스/레이첼 와이즈/샤이아 라보프/틸다 스윈튼/프루이트 테일러 빈스/디몬 하운수/게빈 로스데일/피터 스토메어,드라마,15세,1845000
흡혈형사 나도열,이시명,김수로/조여정/천호진/손병호/오광록,코미디,15세,1824822
나의 PS 파트너 ,변성현,지성/김아중/신소율/강경준/김성오/정수영/문지윤/김보미/곽지민,멜로/로맨스,청소년,1823116
007 스펙터,샘 멘데스,다니엘 크레이그/레아 세이두/크리스토프 왈츠/모니카 벨루치/랄프 파인즈/데이브 바티스타/스테파니 시그만/나오미 해리스/벤 위쇼,액션,15세,1820842
차우,신정원,엄태웅/정유미/장향선/윤제문/박혁권/김기천/장유/고서희/박혜진,액션,12세,1799356
작전명 발키리,브라이언 싱어,톰 크루즈/케네스 브래너/빌 나이/톰 윌킨슨/캐리스 밴 허슨/토마스 크레취만/테렌스 스탭프/에디 이자드/케빈 맥널리,스릴러,12세,1798205
분노의 질주: 더 맥시멈,저스틴 린,빈 디젤/드웨인 존슨/폴 워커/루크 에반스/미셸 로드리게즈/성 강/갤 가돗/조다나 브류스터/조 타슬림,액션,15세,1790457
아내가 결혼했다,정윤수,손예진/김주혁/주상욱/김병춘/천성훈,멜로/로맨스,청소년,1788748
벤자민 버튼의 시간은 거꾸로 간다,데이빗 핀처,브래드 피트/케이트 블란쳇/줄리아 오몬드/제이슨 플레밍/엘리어스 코티스/도나 두플랜티어/제이콥 톨라노/얼 매독스/대니 빈슨,드라마,12세,1767051
공범,국동석,손예진/김갑수/임형준/김광규/박주용/박사랑/하경민/최은석/김호승/유태선,스릴러,15세,1766285
수퍼맨 리턴즈,브라이언 싱어,브랜든 루스/케이트 보스워스/제임스 마스던/프랭크 란젤라/에바 마리 세인트/파커 포시/칼 펜/샘 헌팅톤/케빈 스페이시,SF,전체관,1764758
나를 찾아줘,데이빗 핀처,벤 애플렉/로자먼드 파이크/닐 패트릭 해리스/미시 파일/타일러 페리/킴 딕켄스/패트릭 후짓/셀라 워드/스쿳 맥네이리,스릴러,청소년,1764233
